Dystans (m),Wysokość (m)
2425.8059972274814,631.616455078125
2431.319192675726,628.514892578125
2436.83238812397,625.4315185546875
2442.3455835722143,622.5526733398438
2447.8587790204583,619.8215942382812
2453.371974468703,617.1753540039062
2458.8851699169472,615.2079467773438
2464.3983653651912,613.86328125
2469.9115608134357,612.8541259765625
2475.4247562616797,612.2838745117188
2480.937951709924,612.203125
2486.4511471581686,612.1287231445312
2491.9643426064126,612.03515625
2497.477538054657,611.7579345703125
2502.990733502901,611.3767700195312
2508.5039289511456,610.8917236328125
2514.01712439939,609.8135375976562
2519.530319847634,608.627197265625
2525.0435152958785,607.34033203125
2530.5567107441225,605.8362426757812
2536.069906192367,604.285888671875
2541.5831016406114,602.7274169921875
2547.0962970888554,601.46240234375
2552.6094925371,600.4557495117188
2558.122687985344,599.5383911132812
2563.6358834335883,599.2701416015625
2569.149078881833,599.7986450195312
2574.662274330077,600.4197387695312
2580.1754697783213,601.5054931640625
2585.6886652265653,603.7120361328125
2591.2018606748097,605.933837890625
2596.715056123054,608.1939086914062
2602.228251571298,610.8372192382812
2607.7414470195426,613.559326171875
2613.2546424677867,616.3601684570312
2618.767837916031,619.2431640625
2624.2810333642756,622.1156005859375
2629.7942288125196,624.971435546875
2635.307424260764,627.222412109375
2640.820619709008,629.11865234375
2646.3338151572525,630.9024658203125
2651.847010605497,632.02490234375
2657.360206053741,632.525146484375
2662.8734015019854,632.93115234375
2668.3865969502294,633.081787109375
2673.899792398474,632.860107421875
2679.4129878467184,632.5757446289062
2684.9261832949624,631.9009399414062
2690.439378743207,630.2640991210938
2695.952574191451,628.5858154296875
2701.4657696396953,626.8660278320312
2706.9789650879393,624.4091796875
2712.4921605361837,621.8532104492188
2718.005355984428,619.2266845703125
2723.518551432672,615.9735107421875
2729.0317468809167,612.5177001953125
2734.5449423291607,609.023681640625
2740.058137777405,604.5626220703125
2745.5713332256496,599.4153442382812
2751.0845286738936,594.2217407226562
2756.597724122138,588.3088989257812
2762.110919570382,581.3692626953125
2767.6241150186265,574.3812866210938
2773.137310466871,567.6038818359375
2778.650505915115,561.705078125
2784.1637013633595,555.8004760742188
2789.6768968116035,549.7662963867188
2795.190092259848,547.3152465820312
2800.7032877080924,544.849853515625
2806.2164831563364,542.3701782226562
2811.729678604581,539.8836669921875
2817.242874052825,537.3607788085938
